Pais;Variable;Fecha; Dato 
Colombia;Mecanismo I;31/03/2023;74
Colombia;Mecanismo II;31/03/2023;0
Colombia;Mecanismo III;31/03/2023;1
Ecuador;Mecanismo I;31/03/2023;110
Ecuador;Mecanismo II;31/03/2023;3
Ecuador;Mecanismo III;31/03/2023;5
Peru;Mecanismo I;31/03/2023;319
Peru;Mecanismo II;31/03/2023;7
Peru;Mecanismo III;31/03/2023;12
Colombia;Mecanismo I;30/06/2023;19
Colombia;Mecanismo II;30/06/2023;16
Colombia;Mecanismo III;30/06/2023;19
Ecuador;Mecanismo I;30/06/2023;1
Ecuador;Mecanismo II;30/06/2023;1
Ecuador;Mecanismo III;30/06/2023;4
Peru;Mecanismo I;30/06/2023;7
Peru;Mecanismo II;30/06/2023;5
Peru;Mecanismo III;30/06/2023;15
Colombia;Mecanismo I;31/12/2023;55
Colombia;Mecanismo II;31/12/2023;62
Colombia;Mecanismo III;31/12/2023;73
Ecuador;Mecanismo I;31/12/2023;33
Ecuador;Mecanismo II;31/12/2023;34
Ecuador;Mecanismo III;31/12/2023;48
Peru;Mecanismo I;31/12/2023;3
Peru;Mecanismo II;31/12/2023;0
Peru;Mecanismo III;31/12/2023;22
Colombia;Mecanismo I;31/03/2024;7
Colombia;Mecanismo II;31/03/2024;9
Colombia;Mecanismo III;31/03/2024;58
Ecuador;Mecanismo I;31/03/2024;1
Ecuador;Mecanismo II;31/03/2024;0
Ecuador;Mecanismo III;31/03/2024;4
Peru;Mecanismo I;31/03/2024;0
Peru;Mecanismo II;31/03/2024;1
Peru;Mecanismo III;31/03/2024;16
Colombia;Mecanismo I;30/06/2024;5
Colombia;Mecanismo II;30/06/2024;4
Colombia;Mecanismo III;30/06/2024;14
Ecuador;Mecanismo I;30/06/2024;0
Ecuador;Mecanismo II;30/06/2024;0
Ecuador;Mecanismo III;30/06/2024;10
Peru;Mecanismo I;30/06/2024;21
Peru;Mecanismo II;30/06/2024;0
Peru;Mecanismo III;30/06/2024;18
Chile;Mecanismo I;30/06/2024;10
Chile;Mecanismo II;30/06/2024;16
Chile;Mecanismo III;30/06/2024;25
Colombia;Mecanismo I;30/09/2024;2
Colombia;Mecanismo II;30/09/2024;7
Colombia;Mecanismo III;30/09/2024;13
Ecuador;Mecanismo I;30/09/2024;1
Ecuador;Mecanismo II;30/09/2024;3
Ecuador;Mecanismo III;30/09/2024;8
Peru;Mecanismo I;30/09/2024;14
Peru;Mecanismo II;30/09/2024;7
Peru;Mecanismo III;30/09/2024;14
Colombia;Mecanismo I;30/09/2023;35
Colombia;Mecanismo II;30/09/2023;37
Colombia;Mecanismo III;30/09/2023;54
Ecuador;Mecanismo I;30/09/2023;0
Ecuador;Mecanismo II;30/09/2023;0
Ecuador;Mecanismo III;30/09/2023;0
Peru;Mecanismo I;30/09/2023;3
Peru;Mecanismo II;30/09/2023;2
Peru;Mecanismo III;30/09/2023;1
Colombia;Mecanismo I;31/12/2024;6
Colombia;Mecanismo II;31/12/2024;5
Colombia;Mecanismo III;31/12/2024;9
Ecuador;Mecanismo I;31/12/2024;1
Ecuador;Mecanismo III;31/12/2024;5
Peru;Mecanismo I;31/12/2024;1
Peru;Mecanismo II;31/12/2024;2
Peru;Mecanismo III;31/12/2024;3
Chile;Mecanismo I;31/12/2024;4
Chile;Mecanismo II;31/12/2024;2
Colombia;Mecanismo I;31/03/2025;14
Colombia;Mecanismo II;31/03/2025;7
Colombia;Mecanismo III;31/03/2025;23
Ecuador;Mecanismo I;31/03/2025;9
Ecuador;Mecanismo II;31/03/2025;3
Ecuador;Mecanismo III;31/03/2025;34
Peru;Mecanismo I;31/03/2025;2
Peru;Mecanismo II;31/03/2025;6
Peru;Mecanismo III;31/03/2025;12
Chile;Mecanismo I;31/03/2025;0
Chile;Mecanismo II;31/03/2025;5
Chile;Mecanismo III;31/03/2025;14
