Pais;Variable;Fecha;Dato
Colombia;Mecanismo I;31/03/23;212
Colombia;Mecanismo II;31/03/23;79
Colombia;Mecanismo III;31/03/23;176
Ecuador;Mecanismo I;31/03/23;1
Ecuador;Mecanismo II;31/03/23;5
Ecuador;Mecanismo III;31/03/23;10
Peru;Mecanismo I;31/03/23;14
Peru;Mecanismo II;31/03/23;46
Peru;Mecanismo III;31/03/23;163
Colombia;Mecanismo I;30/06/23;72
Colombia;Mecanismo II;30/06/23;108
Colombia;Mecanismo III;30/06/23;124
Ecuador;Mecanismo I;30/06/23;12
Ecuador;Mecanismo II;30/06/23;18
Ecuador;Mecanismo III;30/06/23;21
Peru;Mecanismo I;30/06/23;164
Peru;Mecanismo II;30/06/23;132
Peru;Mecanismo III;30/06/23;339
Colombia;Mecanismo I;31/12/23;301
Colombia;Mecanismo II;31/12/23;221
Colombia;Mecanismo III;31/12/23;564
Ecuador;Mecanismo I;31/12/23;43
Ecuador;Mecanismo II;31/12/23;47
Ecuador;Mecanismo III;31/12/23;69
Peru;Mecanismo I;31/12/23;72
Peru;Mecanismo II;31/12/23;44
Peru;Mecanismo III;31/12/23;217
Colombia;Mecanismo I;31/03/24;57
Colombia;Mecanismo II;31/03/24;30
Colombia;Mecanismo III;31/03/24;196
Ecuador;Mecanismo I;31/03/24;3
Ecuador;Mecanismo II;31/03/24;3
Ecuador;Mecanismo III;31/03/24;7
Peru;Mecanismo I;31/03/24;67
Peru;Mecanismo II;31/03/24;80
Peru;Mecanismo III;31/03/24;277
